,,,,,
,Park,Traffic Counter,Year,Month,Traffic Count
,Amistad NRA,TRAFFIC COUNT AT DAM VC,2019,8,570
,Amistad NRA,TRAFFIC COUNT AT DAM VC,2019,9,439
,Amistad NRA,TRAFFIC COUNT AT DAM VC,2019,10,603
,Amistad NRA,TRAFFIC COUNT AT DAM VC,2019,11,442
,Amistad NRA,TRAFFIC COUNT AT DAM VC,2019,12,434
,Amistad NRA,TRAFFIC COUNT AT DIABLO EAST,2018,1,"3,955"
,Amistad NRA,TRAFFIC COUNT AT DIABLO EAST,2018,2,"3,045"
,Amistad NRA,TRAFFIC COUNT AT DIABLO EAST,2018,3,"6,596"
,Amistad NRA,TRAFFIC COUNT AT DIABLO EAST,2018,4,"6,184"
,Amistad NRA,TRAFFIC COUNT AT DIABLO EAST,2018,5,"6,615"
,Amistad NRA,TRAFFIC COUNT AT DIABLO EAST,2018,6,"5,953"
,Amistad NRA,TRAFFIC COUNT AT DIABLO EAST,2018,7,"5,987"
